,TP53 (M),FOXA1 (M),SPOP (M),PTEN (M),APC (M),KMT2C (M),KMT2D (M),CDK12 (M),PIK3CA (M),CTNNB1 (M),ATM (M),AR (M),KDM6A (M),BRCA2 (M),JAK1 (M),SPEN (M),RB1 (M),NCOR1 (M),MED12 (M),KMT2A (M),PTPRD (M),PIK3R1 (M),GRIN2A (M),RNF43 (M),ASXL1 (M),FAT1 (M),ASXL2 (M),AKT1 (M),ARID1A (M),BRAF (M),CREBBP (M),MTOR (M),CDKN1B (M),EPHB1 (M),SETD2 (M),NOTCH1 (M),PTPRS (M),CIC (M),NF1 (M),POLE (M),FOXP1 (M),SF3B1 (M),SMARCA4 (M),DOT1L (M),HRAS (M),TBX3 (M),PTCH1 (M),CDH1 (M),EPHA3 (M),RYBP (M),Seeding
0,1.2012028507479158,1.6346111366288882,2.9912207022693407,0.01064706735393365,0.01572607322116546,0.17402604429131,-0.9146367092591867,1.4229163593828111,0.6791894061673719,0.00669478373554621,1.338382526812741,0.418827208381015,2.2210267509976487,0.714916566819669,-1.1679850741257958,0.0112996916291656,-0.2753248983061383,-0.0037789886361728232,2.279164581897278,-0.040458039924463285,1.4930609375912585,-0.23170876838095603,-0.22559398636904845,-0.9896222573418053,-0.38446975956203144,-0.24973822588241584,0.8041611040279308,0.0005379711049910692,-1.018958852967852,0.9627442243692914,-0.5608050125054688,0.005363380929438597,-0.0020096336441640713,0.9419721298033106,-4.2092692364162506e-05,-0.004865227784441458,-1.226561930332573,0.3508999356647109,-0.767106788235004,0.0012122497687033994,-0.42861394074985165,1.0552131213621947,-0.002783843803637175,0.6567800798313465,0.48615089231061154,1.7338790989660993,0.002091411846360079,0.8252970909667903,1.2262982773259892,0.6918608851090334,2.9395629877185
1,0.19956706821443113,-0.4834039279348747,-0.029508867798576446,-0.0017343201998110775,-0.015362911825104117,0.03371332566999247,-0.47811778877703137,0.6485187564053154,0.0028305209592536995,0.004022436964088971,-0.0005284541877564398,-0.0219078625703513,0.0010651553512045873,-0.0030544794824364356,-0.013067762291518402,-1.1581391554902964,-0.005126531175220424,0.006797470184477047,0.00020321965821249336,-1.3900599187771778,0.00033047648083074155,0.0018392628127268677,0.0008280817750259555,-0.005068797610979918,-0.0313659928515565,2.622104252089836e-05,8.78826742390375e-05,0.00014865383541176958,0.0072324581103132115,-0.00035263366478291327,-0.001641075318521883,0.0014002123926399887,-0.018390334526246208,0.0011142588512774417,0.0,-0.008257567955962702,-0.33407212775047684,-0.1660001410115371,0.0007241047935225293,-0.0009268356265124313,0.0006255178090020032,0.0009283450955318351,0.0006151132162405673,-0.004522983225463218,0.0006026653667957409,3.4149950166156016e-05,0.009908819354907852,-0.0031234336542655117,0.0009463883755819729,0.0013325903810690828,2.6462537420310754
2,0.4672101661138857,0.010758325510771428,-0.2816093901010154,-0.054489176169898,-0.08241060440437699,-0.6408351279858362,-0.3430582555265746,-0.044396037268689154,-0.026450724902235344,-0.23923618746329622,-0.7723178028095806,-0.004325437351717965,0.005669314207933367,-0.09487158294414133,-0.5456854440232171,0.0023320741942448905,0.0016367622533279666,0.0009858900227898539,-0.00021201970605149573,0.00973674088565426,-0.012956797405288675,-0.0022363302329879166,0.20612692657948212,-0.009680575758618701,0.02876797319259508,-0.06588087504893973,-0.19752782985841025,-0.003053483502335047,0.0005093485691514533,0.006080646368853721,0.4039691140748108,-0.001804933539820487,-0.6897247262195102,-0.0018052716367452715,0.0013291873929589418,0.015125982734826144,-0.652207696322121,-0.012066760665449405,-0.040967666715367196,-0.0014755116980962647,-0.0007145291368413549,0.05828713334884666,0.0035272072539383353,0.02009851071169522,0.004860235057628649,-0.5960543628461478,0.001586543006336396,-0.0029316582235622553,-0.004255026104139907,-0.001321406940560941,-0.2911128680176745
3,-0.010547127403333217,-0.13445252906537408,-0.014255016015379852,-0.1275882665717892,0.0008803718834667195,0.025493831617716248,-0.7475645266307339,2.270433433815102,0.0010909479359819886,-0.0004810551272513975,-0.009266407056955651,-0.0013398425612186076,-0.002451017248224604,-0.006375931691722385,-0.6521092832296758,-0.2452765046535842,0.00017484340323554364,-0.005135604654100685,-0.03676774820117025,-0.0010497173308036303,0.0025751615388761107,0.00023789231647121655,0.001391949415769609,-0.010446880222327027,-0.007837026298234228,0.01646856360532937,-0.00034874454244429923,-0.0005355596186654829,0.0005915575550292227,0.040646337450159595,-0.09828419460102324,0.00016882591314583276,0.0008825703177298617,-0.31735988892928557,-0.14353429095864653,-0.354541604018236,0.13432550207356464,-0.20017377414716667,0.00676291039590924,-0.008298710940481171,-0.004963534622364683,0.00015582810601884122,0.00033893229526094917,-0.004128774566552617,0.004875270951367371,-0.005465058567432665,0.005633263917405172,0.002017009203578925,0.0007060531086720428,0.000854396111905316,-1.0344989435411518
4,-0.010033788769987076,0.0503648788631495,-0.04042749530578184,-0.6966013845767605,1.4144108339454757,0.023452895584234395,-1.4873324501501255,-0.01990840862718943,-1.0884693998858992,1.105786893266457,0.6367209038762819,-0.001341379902660345,0.012605953226652575,-1.1537023208776565,-0.6019116810698182,-0.7015651231120815,-0.0014080743186979721,-0.008765015873540474,0.003071891097915732,-0.13702085230231398,0.00408005464052056,-0.0008919456988246794,-0.38348426367260935,-0.11627767705313029,-0.28506849431497533,0.673749924299774,-0.6542986284944866,-0.13628518006474225,0.006816060542842091,-0.5043413533371974,-0.001497708851439235,0.0019145675065785645,-0.008194220426990783,0.0007182476966063373,1.089194466323248,1.127226587472436,0.0060246830350524005,-0.012489075384976674,0.006002930922432816,-0.012161334251102655,0.8179804796152432,-0.009762727438014103,-0.0003511022267779786,0.002153505637575077,0.0007388423485951016,-0.003815805444457947,0.0037775121157745217,0.00025103747789526943,-0.0028134586480442654,-0.0007136435493830946,-1.3781137124492877
5,-0.009956579112834733,-0.03734672850221883,-0.43274640772483214,-0.8434780213347729,-0.44867927921236295,-0.04752609800917344,-0.005568790000532604,-0.07516490133814017,0.0008707978688157082,-0.00499900052346258,0.00462553065950941,-0.00601549610442516,-0.0005036860115999508,-0.0003985227619983327,0.029396989420627948,0.0033142007674553118,-0.009499394546583684,0.0017481106675760775,-0.0017703500471299123,-0.015193975704875467,-5.437794928054413e-05,0.0017527344567051758,0.0010473325704745695,-0.0010240800665304393,-0.0024448854845493017,0.0005225411365343921,-0.0010215282442609553,-0.0004094689031079032,-0.0004843912497021261,-0.007269402730979668,0.0036093419290545306,-0.0010680973360389678,-0.0008356249361470816,0.0026184254640989647,0.001272364482366737,0.0003945284525610151,-0.045886781460813646,0.0004211919399162245,-0.07289037923657055,0.0016144392654187662,-0.001693699559353382,-0.000442295766606688,-0.0002013990484171316,-0.010334649108951434,-0.13699760053454296,0.0007227754796990599,-0.0011765635038902952,-0.008941244426576227,-0.0005205681177036568,-0.0013599046209936839,-0.0030816959172877785
6,-0.13405453816535132,0.6730855400527244,-0.09590456893432181,-0.7260325620182215,-1.1151035807482246,-0.002926499478794692,-0.002606959346319423,0.0005587634491759574,-0.0010473799324253077,-0.25821965412621856,0.0024034244194891547,0.0004941101642154575,-0.0009736333776871715,0.003456988803213867,-0.019389187751311723,-0.002728915735722844,0.004383516058848947,-0.07990850171094498,-0.0004762929544224978,-0.0009978359089381778,-0.03195122982756253,0.0013369102542034128,-0.0015873527363401891,-0.39176926511993965,-0.2729612349699072,-0.09007084602540327,0.0010904271058171063,-0.0021651879794519695,-0.005447695146709372,0.0004708700549968145,-0.0009745478429971055,0.000134433407573854,-0.00035462648112036656,-0.0019497676557249579,0.0028265112602327246,-0.000795761153321464,-0.46520138382954634,-0.001289940228032098,4.61816917656032e-05,0.00015946464579489245,-0.000967454363554204,-0.000585982671768374,0.0018133222354228752,-0.018160991124290152,-0.001560290626759018,-0.00034011126014197977,-0.001661965523630746,0.0009398871389410376,-0.0002920185050334855,-0.001219568983335786,0.23089395323185563
7,-0.26920712276885694,0.008853365011611625,-0.0001930800765521672,-0.004585472592855249,0.8413649181597593,-1.1082146906993449,0.09799917704097293,-0.005442730990523144,-0.0022227852762144716,-0.2567226200505338,-0.004729758787683049,-0.0011633063895467675,-0.00019813877752606962,-0.3690081405641583,-0.0029613527006351155,0.0048813764775166735,-0.0160032031044594,0.0009511224445244308,-6.08133213796146e-06,-0.006585322579980767,0.0003031713365574278,0.00022414458138435918,0.0006602455804192633,-0.001506672847321521,0.34983918860591623,1.930762556803361e-05,-1.2743547555503742e-05,-0.000705347542504326,-0.005698993051742451,0.0005363632775952845,-0.0034403582406132512,0.0012029774669232267,-0.022117568294945014,-4.100428600407257e-05,2.170542814130611e-05,-0.00016921734978454978,-0.00032002603299116265,-0.0011414244325492879,-1.6997019084815258e-05,-0.0006282194865949678,-0.0022362706165112464,0.0007391124018913097,-0.0007771583560213399,0.00035441858217018707,0.00019989151045959194,-0.08859727230509537,0.00026726006611884175,-0.0006462262143182779,-0.0019485808610768345,0.002145263460603163,0.002322603102617553
8,-0.38964383189865737,0.01877466127083684,0.020387600528137286,-0.0037520545607354584,-0.0010544596414786347,0.0017689867829679185,-0.9585611701002537,0.0010623363792289686,-0.00033831236229838,-0.0012910667056644164,-0.0005589191594193,2.11994730432792e-05,-0.0017565555459321453,-0.00037137092770654444,-0.05404541895799917,-0.16668131089614352,0.005611627268502642,0.003069510384375851,2.7166220495859964e-05,-0.01641322879212622,-0.004129000945202335,-0.0016250352500230428,-0.0003757748189404719,-0.0009243980358592483,0.00022397863288759162,0.004504077717194152,-0.0013773401165772605,2.02131228059175e-05,-0.0006362640837569922,-0.00019898128528213915,-0.000667267327627474,6.614796920028608e-05,-0.0010714699895415358,0.005422454257338205,-6.90100587233151e-05,0.001035356822064466,0.0007153359446700439,-0.0016282321151042695,-0.00036626443676674266,-0.0015471090841492723,-0.0003930919340957473,-0.002002591546318054,0.0005728446760633204,-0.0005080026570268975,0.0015606789534420079,-0.00038903750578635503,-0.0044462463286083186,-0.004052379923024332,-0.0007783068817093369,-0.0015172151381496256,0.005433108694495695
9,-0.0032750601249064487,0.17006442672164565,-0.0016814501064565989,-1.0109111758622273,0.1479443547023646,-0.8019022832090146,-0.04747364223511407,-1.3012577542244295,-0.02446103355969615,0.2388767175183534,0.0010492717326537012,0.000292442113786372,-0.001649529940090057,-0.000400999033430935,-0.04306679363501344,-0.7562763804391823,-0.019952133721810004,-0.02045196948237296,-0.0014083468202990192,-0.002033048758367023,0.0016125818159388981,0.0021426684957699944,-0.0008173259501783117,-0.0017210501027605588,-0.002600764452042035,-0.008794051157056976,-0.001720560714601853,-0.0007940810717287465,-0.11058434344207348,0.0025767421215566345,-0.0017362057640580727,0.0001468621940616754,-0.0004727796217968296,0.005285133909161657,-0.0018949245018333421,-0.0006949825969659086,0.001725800418062778,-0.0022485343500786978,0.00037217966170900014,-0.0015866511924020718,-0.001596383727280725,-0.0010261309733076564,8.013671838135301e-05,-0.002518521104243598,-0.002189505206541109,0.00041936814356467115,-0.00026298793343507664,-0.0016153061047277978,-0.0009039102292048116,-0.001649842542704033,-0.6400572491186765
10,0.0002701035794652778,-0.0008854094794695713,0.0033118322065610016,0.45627415021549095,0.0006502903007630886,0.003957158738052534,-0.644530884297762,0.0004490015788202645,-1.6879187443022776,0.17732862823544215,-0.00048506369351093985,-0.001823142069362587,-0.00243577418708323,-0.001048258203329589,0.395099122272049,0.0001936462943885528,-0.0022970194416413988,-0.0014060978718314935,0.0006815327513267699,-0.002237372254515054,-0.0015651174147165137,-0.001306756426191036,0.001102055863801496,-0.001503381944013264,-0.2178304420865045,-0.00024047883510691894,0.003035699067042252,0.0006389955222634882,-0.002739748947941153,-0.0005592807040789399,-0.004891503623086211,0.0012204026036204407,0.9888945299483107,-0.00043788023710091895,0.002273537998071793,0.00024394350098616742,0.0012502871345283614,-0.0010692906983163011,-0.002646973572477939,0.0014085361931427183,0.0010640864350016219,-0.0010050968228005634,0.003079346065970386,-0.0012745397867598217,-9.17950454310736e-05,0.001213863135296525,-0.0005934675607661977,-0.0004431013024756146,-0.0012369981884150993,-0.0003868441307353806,-0.9430518122969516
11,-0.293710645603138,-0.0026946504616502816,0.037060795547840676,-0.46637476827551416,-0.3545952704110919,-0.7718804924003899,-0.6161658049383363,0.00012190637890389949,0.0005242568813110424,-1.702993898380185,0.0009736783995877925,-0.0011622764183908097,0.0003845575102038783,0.0029465518372874698,-0.0019275190943760234,-0.049162875007837344,-0.002155210705124092,1.8892737639619479e-06,-0.062411979260205176,-0.0027213635587136726,-0.0004915110519815038,0.003801299586401169,-0.0016708398726649626,-0.0016043096853073195,-0.002603269911988998,-0.0010253150282783362,-0.0009995785083171088,0.003964616161617494,-0.000614690307386173,-0.0012448358656439204,-0.0009060398974730712,-0.0007952533095514769,-0.000337617266311065,0.00020425202222449675,-0.0011157446146006162,-0.0013710715760551283,-0.030675314070354762,-0.0015322240519479754,-0.0004532397650440514,-0.0009979072573665254,-0.0009135079808721539,-0.0008566552437021731,-0.0002634784454783001,-0.001074428690681402,-0.000965346389227504,-0.0007851329967668037,-0.00023730961515735596,-0.000908370881622276,-0.0006830007679317253,-0.0008989610182247951,0.0023013322370172284
12,-0.04307946612690497,0.014488641087740204,0.0007975506909344729,0.6053732871068008,0.0033693728314212004,-0.3255023742174472,-0.34656070912707276,0.0006084085548451243,-0.026237055849870145,0.0013464921031446373,-1.608306478736687,-0.002217231574867002,0.0013760374081299065,0.3778855835345262,-0.29252913344792464,0.459547692437041,-0.0012432856543398499,0.16893008736894402,-0.0002492452991717899,-0.001596294830797548,-0.003823808878995446,-0.0013795399279637834,0.04615386798689809,0.0005610795203175315,0.0012799598564581392,-0.0007336224626314466,-0.0014000090061136786,0.002090889148550639,-0.0011678890487476642,-0.002225113329631314,0.001056467757450068,-0.3614963926110455,-0.0023950557735343252,0.001840196569750056,-0.0023048284918033685,0.002872880389802484,-0.087071442540542,-0.000623879626301923,0.001193840362075824,-0.0012220604785583037,-0.00030538420137706684,-0.0011901226538604851,-0.004408098014331887,0.0009792446415097034,-0.0014985668787033917,-0.0015949176602102792,-0.0012487576696097278,-0.0018316179708833824,-0.005893917467208028,0.0014158118267142024,0.0007510899073928187
13,0.039333203681878204,0.005833668371599094,0.0008331434823112011,-0.0025472857460354533,-0.0032049102381757357,1.0469865941019023,0.4055307655208235,-0.00033153204767238237,-0.0005936056289445519,0.0008413986398915982,-0.0273770899113649,-3.6175401699172594,0.015520292196350684,-0.000985011760762814,0.05814766938456736,-0.0002222003683338093,-0.003564845911312428,0.0022737698258889156,0.0002736525430965513,0.005374110040553746,0.0017001497133578704,-0.0008518786800748089,-0.0005938690032770276,-0.001594424294106782,-0.001347685791803093,0.001770904056250233,-0.00044413464465104376,1.084962802595633e-05,-0.0024465656782263374,0.0015016567290573645,0.0008803869048216924,-0.0018159131376660775,-0.0007251141995141912,-0.0006532333379698576,0.0008076675725890077,-0.0012906208356914227,0.49880456020511366,-0.0008312727523092504,0.1055350242951403,-0.0006452858850526885,0.0004975795468515822,-0.0010533553178232965,-0.0011240908858256321,0.0003967635345555539,-0.0015933583358319597,0.0001682354193686403,0.0016113034756153224,-0.0017147396407730868,0.0010263796852734524,-0.0017337896577956226,2.8877286276739134
14,-0.0030250884913960055,-0.1341447531317167,0.12362554520723446,-0.00045013066171073913,0.0015128990655158398,-0.38984062816116105,-0.5129695732672495,-0.0011268913244895365,-0.12167459609971835,0.0031268576911023366,0.004543069152506571,-0.0015973597381557876,-1.4096895730379646,-0.002977694023830214,0.0027049980807466773,-0.0005471091424605317,0.002292303375285868,0.0006410475194800029,0.0008816318910531279,-0.00026440917687327943,-0.0020993724070614535,-0.001344859784034729,0.0024647003047146335,0.0010634171097700742,-0.0007961150404154496,-0.0009883821544241006,-0.001463266321721912,0.0015605918848823493,-0.0002548520211655068,0.000469810762659418,0.1744191827327169,-0.005227550326250606,0.376583444461522,-0.001576726404906042,0.0021062491741962873,-0.002628457841460357,-0.4760500828524612,-0.0010239205851451118,0.008998603018795381,-0.00018673223013204222,5.769830534985902e-05,-0.001080168753183672,-0.0005712112630430031,-0.003006750351179622,0.001950497264128024,-0.001142168950368193,-0.008109409219759538,-0.0012788331752099375,-0.001206285787223546,0.0007480886266781744,-0.6370373625715382
15,-0.5742330495913698,0.002126145309242179,-0.09666818308825807,-0.0021803662721919213,0.0005277733797727061,-0.865206854970069,-0.234826656719673,-0.0005414189075786569,-0.001111726819292013,0.003312371539991248,0.007019972513082749,-0.0006351179939330599,-0.000856769975632426,-1.672957830105285,-0.013204689269645919,-0.0009497603349487483,-0.0028321275542973505,-0.002432731058633309,-0.0003411361012311831,-0.07645131455538026,0.0018527290478146494,0.03049258724684279,-0.0022408904957386447,0.002164055236600164,-0.0018404888601673253,-0.1075027616596052,0.03630970439353613,-0.0015244298340304164,0.0007388719044929058,-0.001498757150013583,-0.0014207411767102743,-0.0017216789020990189,-0.002890083475838507,0.003111381573243778,-0.00032532812204039195,-0.001709494239276164,-0.0011579505557481639,-0.0002272112311193948,-0.0015420816145513944,-0.00030521157518875335,0.00010061193161286163,-0.0008514091849196604,0.00012635179247168506,-0.0013892970550865116,-8.268733805005335e-05,0.0018038793761011767,-0.0005866912825102978,-0.0010471619789904996,-0.0001352874128342839,-0.000927113350887053,0.0007091336056755285
16,0.002669649963988827,-0.0013609266298149874,-0.00095739833902209,0.8375957638919043,0.0008432458812674778,-0.0064283846271079425,1.6591830372704446,-0.00048113215636658873,0.0028602111238461457,-0.0004514200974103694,-0.0011300366492038032,0.00016178802613172675,0.0008868528631872301,3.7933628238215726e-05,-2.7075785883598518,0.9393549077677438,-0.0011920696360908864,-0.0020772976063174013,0.0006733923912044868,0.0029394844973719587,7.696088049111992e-05,0.0018749681855386217,-0.0018592547953566081,-3.683874725915023e-05,-0.8146152243615589,0.0116924902967491,-0.0008929933895868785,9.28482283530302e-05,0.00027985350045305686,0.0012231072745172936,0.12519377466547565,-0.00030369087246860226,0.00013744698703099776,-0.0007709475913608502,0.0007755974166581425,-0.22109174014195884,0.0032750684419839615,0.001735363780609179,0.002188642553903654,0.0004173874774969895,0.0023147074016130476,0.00030873995524164526,0.006731913565237449,-0.0019104253284417388,-0.0011013725024866527,0.0002484722481973768,0.001907976863137059,-0.0014593623949224173,0.0005623257946844191,-0.00033768821362472164,0.00038180672052316294
