,P.Mut.KRAS,P.Mut.TP53,P.Mut.SMAD4,P.Mut.CDKN2A,P.Mut.ARID1A,P.Mut.RNF43,P.Mut.MEN1,P.Mut.TGFBR2,P.Mut.KDM6A,P.Mut.KMT2D,P.Mut.GNAS,P.Mut.DAXX,P.Mut.KMT2C,P.Mut.ATM,P.Mut.RBM10,P.Mut.BRCA2,P.Mut.SETD2,P.Mut.ATRX,P.Mut.PIK3CA,P.Mut.RB1,P.Mut.TGFBR1,P.Mut.SMARCA4,P.Mut.SMAD3,P.Mut.MAP2K4,P.Mut.TSC2,P.Mut.BCOR,P.Mut.U2AF1,P.Mut.SF3B1,P.Mut.STK11,P.Mut.PTPRT,P.Mut.PBRM1,P.Mut.PTPRS,P.Mut.PTEN,P.Mut.APC,P.Mut.ZFHX3,P.Mut.ARID2,P.Mut.BRAF,P.Mut.MGA,P.Mut.PREX2,P.Mut.EPHB1,P.Mut.EP300,P.Mut.ELF3,P.Mut.KMT2B,P.Mut.NOTCH1,P.Mut.FBXW7,P.Mut.ERBB3,P.Mut.SOX9,P.Mut.ERBB4,P.Mut.NF1,P.Mut.FLT4,Seeding,Sampling
P.Mut.KRAS,-2.5893732299909105,-1.252540636466497,1.681903330440435,0.001958346112077144,0.0016679027666513806,-0.26740567473459115,-3.0667174366267616,-0.0008501375451247377,-0.00041569543981276926,0.0003933161148079826,-0.00034672544042222255,-0.994750105285243,0.0013368482632029972,0.002462455221966185,0.0001303017069107388,-0.13879731304696014,-0.0006150702690521555,-1.2409026878464335,0.0003286024428439135,-0.00025190449681448376,6.514565288350576e-05,-0.000753546279983199,0.0005691565348850822,0.0009473502078548639,-0.0011584461405354375,-0.000509434210976359,0.0016571936842237746,0.0016106120126879908,1.0680993215664574e-05,-0.0008222451874201171,-0.0005803202207898842,0.0005289475103873776,-1.937412156531796,-0.000549567970259945,-0.000562451304867702,1.4211189299934652e-05,-1.0462920580731696,0.00010861596959292238,0.0008828535986424837,-0.0007133473373223767,-0.003291589423691858,-6.90029921241971e-05,0.000781677433969831,0.00015602341018829225,0.0004013491071655081,0.001194846070265427,0.0004762981760292706,0.0,9.185378373264324e-05,6.739591962059445e-05,-1.017230009062999,-3.7630345768968105
P.Mut.TP53,3.0363882304740977,-5.676042319534592,-0.2600092740809945,0.8788223885577839,0.003045526913828695,-0.8199480466247594,0.0018405369520351506,-0.00031552880483703565,0.0004924967579749481,-0.0006755341301966572,0.0009091620209365318,0.0010642487148850904,-0.0012054294833765107,-2.7811978729164717,-0.0004337991224462302,0.0009114964001302569,0.004334130977392251,0.008573042642410194,-0.0008227696317645928,0.0009326771224263686,-0.00013899054394914958,-0.0002230930522975664,-0.0002339607207524073,-1.252942918268173,0.002886402114195237,-0.00013711328176102815,-0.0007643655283178279,-0.5553102712081819,-1.1260693124062518e-05,0.0007878639534269661,-0.00018212317887450713,0.00048298783085645903,-0.00302880978807227,-0.0002416586667636434,-0.000634624267727871,0.0009352362243813748,-0.0006552088653185793,0.00018464634420875021,0.0014566589268014225,-0.00041525716265410084,7.683652945735632e-05,0.0001322766799850462,0.0012246114204349265,0.0002932156702096107,0.00025039121769147556,0.0014592904822085073,-0.001810536122081729,0.0,0.00017406199289508092,0.00012663318697535462,0.0013247120368492502,-2.5675101783232104
P.Mut.SMAD4,-0.001387698086381125,-0.02197272083183345,-4.893604231729121,0.0012891912876198143,0.0012237945021956603,-0.001115202050158595,-1.4645231539042909,-0.0007254106178695176,4.1893073162712034e-05,0.0026335898029879764,0.001150296268742483,-0.07001813302899172,0.007419957560190633,-0.0013896705838191096,0.0002073014689121105,-0.0031790850283500024,0.0013000926074756415,-0.001665598704660569,-0.00046732373565615666,0.0021915259392578847,-0.0007427922710091766,0.0016975698075288677,-0.00015854322893036216,-0.0013064824012291303,-0.0010028855720711726,-0.0005083467580548158,-0.00042274765141803937,0.0009303868765543837,-0.0003543468190504609,3.693102732990921e-05,-0.0003907512167213064,0.0018527943517824808,-0.0025903007491077483,0.00016124487912026902,0.0014569118893449611,-0.0016866440641094703,-0.0009505701322568962,0.00017218230305688745,-0.0024579848346233967,-0.0004320975824974245,-9.434874989509799e-06,-0.00013582583167072494,-0.0022755674225712424,-0.0002750311993014981,-0.000325735578717702,-0.0003973409657792137,-0.0018393653655900408,0.0,-9.045041384240567e-05,-0.00012896080085272535,-0.9440790658780627,0.0
P.Mut.CDKN2A,-0.0003417515989783972,0.00032064378989949435,-0.00016709386770498463,-5.713242888144885,-0.0012063493594184076,-0.0013892015628728153,-0.016297853779017234,0.00032494147058528545,-0.00015428120868701443,-0.001685301098832201,-0.0006442290289071648,-0.0020988170950068884,-0.007564484660292499,-0.002718198904421072,-0.00011366211353046285,-0.0015619250599710763,-0.0021317819573505557,-0.0019642608233066414,-0.00030607501933515425,-0.0013686537824563877,-4.071618705980632e-05,-0.0012385418037456908,0.0027963389162175764,-0.0006546903864922515,-0.0033241273009506377,0.000621695201243202,-0.0005724990867650884,-0.0022277053787427416,-0.0002266401567583303,-0.0006155639898860378,0.0002917716105578041,0.0024416152307122235,-0.001078169572390017,-9.704190027800362e-05,0.0037627653443019094,-0.00026619177163459643,-0.0005517614543575976,0.0002578791519329018,-0.0011983006488070784,0.0001520694941937184,-0.0003676526454780276,-8.131013865322159e-05,-0.0011485943785364582,-0.00011121051476239454,0.0025779956083996306,-0.00026827342502603246,-0.0008942027428636971,0.0,-5.2521780357962786e-05,0.0003082000025240413,-0.24571788313702167,0.0
P.Mut.ARID1A,-0.002842402321553021,-1.5994397951440285,-0.11480053327349307,-0.0004007435687528964,-5.945728815611129,-0.0021723506300817446,-0.0007497939091863435,0.00044160892857245294,-3.4951483066611246e-05,-0.000565678660357678,-0.00020826123341914198,-0.001168538412058479,-7.482832377755945e-05,2.0268751053134273,0.00020156899009978613,-0.0008163379477956309,-0.00024428239374005485,-0.0016103609530928168,-7.627676071877623e-05,-0.0002985499721801367,0.00016765407480521385,-0.0005176238435418495,-0.00018374566753992963,-0.0004924351106468983,-0.0006750583282477795,0.0002689930195540674,-0.00022268094462487228,-0.0010404522195322499,-4.238560924992578e-05,-0.00017699679258113246,0.0002862091681702864,-0.00034891333002450795,-5.0314913880753414e-05,-3.4192378265513416e-05,0.00029167993682481394,0.00015815811163657277,1.244526593843372,-2.9601624169357916e-05,-0.0002947893716128489,0.00015084934586726174,0.00025801665020639325,-4.80893863676282e-05,-0.00027862608575217833,0.00022152736455192037,-8.251758058748805e-05,-0.0001350447748530377,0.00340083969141914,0.0,-2.158172241055713e-05,-3.2340289758192814e-05,-0.049590210771615635,0.0
P.Mut.RNF43,-1.4614081269558856,-0.0018829730284543364,-0.0007219535257458124,0.002112627308902348,-0.0012368003966499893,-6.00843970850824,-0.16222942264650442,-0.00016191931836766546,-7.119236981911956e-05,-0.0002739309195746088,0.0006708101844692635,-0.003995978139023248,-0.0003262864053685239,-0.00046526897271371927,-3.889971102502174e-05,-0.00036614138319349885,-4.8975332466598534e-05,-0.000918786445013269,-5.492045924975537e-05,0.00014388614221213126,0.00018618489629145207,-0.0005199044012112398,-5.237050232904203e-05,-0.00017866116481887983,-0.0008104030464295181,0.0002410926672325409,-2.316203451193855e-05,0.0017035745878320801,-4.796004783106792e-05,-5.999346038020115e-05,0.00025305451215756604,-0.00023735293177282375,-0.0004109643221148923,-7.396424704170633e-05,2.2848545832291853e-05,0.00016955686980458433,-0.00029346337003374756,-3.571719511073944e-05,-0.00017515816742550534,0.0002211459846963743,-0.00012353745045382087,-5.101748358802946e-05,-0.00016453828182714147,0.0003006069398029631,-4.3830979030519e-05,-3.88173944252277e-05,-0.0001432715768464338,0.0,-1.666339057073999e-05,0.000304977143441596,-1.2028663953744083,0.0
P.Mut.MEN1,-2.988962907895452,-0.45551500474752743,-0.0021552429476104223,-0.003715495127434938,-0.00021484433168745252,-0.004603792517919212,-4.920058848339496,0.00037338174413668423,-0.0001314120751877501,0.0006052211613679154,-0.0006631106957747347,-0.0009013019202703552,-0.000345599268323148,-0.0006550311733989843,-5.120501942761269e-05,-0.0007964368436880568,0.0001967203158167766,0.0007254517563556229,0.000430416161051311,-0.00019221560053583547,-0.0004907923963764351,-0.0005507127432813564,-5.136263591377021e-05,-0.0002831566442756724,-0.00011373764803540078,-0.0003913470248766045,-0.00014525465294687337,-0.00040301504231642993,0.00046995787245095535,-0.00018154288001879528,-0.0003809658756164751,-0.0001622781193253852,-0.0027177719806483033,-0.00013320466063988768,-0.00012625817651022606,6.903258587883221e-07,-0.0007890540874497467,-3.807145779147079e-05,0.0003392841553231893,-0.0003692976000520225,0.00024689059957937534,0.0002386605197069733,0.0003513017315539287,-4.4834984788818084e-05,-4.136039330121694e-05,-2.9059885661310208e-05,-0.00019900389111983553,0.0,-1.8214659424378504e-05,-2.6583468681436884e-05,-1.4430435960755594,0.0
P.Mut.TGFBR2,0.0006226542280901039,0.0011205066359652551,-0.0022083128402541055,0.009848965466105997,0.0001127717825042369,-0.00048040920025430663,-0.0006803618765334963,-8.070228482587169,-2.4714235044120984e-05,0.00015241359667049972,-0.00016449728941877589,-0.0006742163055405016,-5.340577818192704e-05,-0.0002582374570985692,-2.2460000341685815e-05,-0.00016865440468591473,9.75399204273897e-05,-0.00016496203731429065,0.0002724691954122645,-0.00013473970461623896,-6.384586801567127e-05,-0.000109127694379242,-7.1352081799686e-05,-5.545646208093861e-05,-0.00027311845652233516,-2.176282759796147e-05,-8.482043492631183e-05,-0.00023332203511851744,0.0002766309051074936,-8.801432046157657e-05,-2.925728976539002e-05,-0.00015583742631531132,-0.0002334185577232127,-2.0264909777620855e-05,0.00025077466869813907,0.0005696545715669151,-5.398039407199102e-05,-2.2357942136721228e-05,0.00019657130417908772,-5.1259131377241624e-05,0.0005974748489317439,-1.785943140808889e-05,0.0001994857955439171,0.0003145476284219642,-4.857395939619973e-05,0.00029073754440256074,-0.00011165884809110672,0.0,-1.0595230340636924e-05,-1.332758075719609e-05,0.0008080627174838692,0.0
P.Mut.KDM6A,-0.0011273713439423894,-0.00020815261392902588,-0.00016774118675554688,-0.0003002893705800334,-0.00018955754647285197,-0.00011787758998642848,-0.0002249884673853845,-1.3958128658437617e-05,-9.364426384574882,-4.710260911835259e-05,-4.300644087920816e-05,-0.00018353045256104918,-0.00010229499223925144,-5.750429460903498e-05,-1.1424218814580981e-05,-3.705387371795789e-05,-5.287251814875595e-05,-5.5459953060459774e-05,-1.89807478156823e-05,-2.9242786031676646e-05,-2.7559956279533497e-05,-4.1582597481206596e-05,-1.0774372680337287e-05,0.00029940441332575456,-5.806853123067367e-05,-1.5527877600863707e-05,-3.080922709875899e-05,-4.6611810061332226e-05,-1.5218677083696238e-05,0.0003364689236519814,-1.6958271048510804e-05,-4.87661029353064e-05,-6.266735004600431e-05,0.00034841250194547654,-6.238780252520251e-05,-3.43024809240574e-05,-2.50949138396409e-05,-1.1398332391780344e-05,-2.4490821116541342e-05,-2.4257690881673853e-05,0.00034159411692315423,-1.0206879860607546e-05,-2.376148874099456e-05,-1.1500403957407555e-05,-3.008616440068569e-08,-2.2140181841536957e-05,-2.5655040163943868e-05,0.0,-6.523944784378539e-06,-8.754964424839297e-06,-0.0009966315028816367,0.0
P.Mut.KMT2D,0.0010843290038841408,-0.02572129215209404,-0.0002187701852721831,-0.001303341928524096,-0.0009407649623603983,0.4230332591624148,-0.0005684642080832539,0.0002918779563013699,-2.9854138354745008e-05,-7.755443617144925,-0.00023998822758206865,-0.0009278875414612378,0.003613751981363085,-0.00036098840765498504,-2.2586891651611036e-05,-0.0002055282470469815,0.00040145883389634324,-0.0002443933804090595,0.00030563018485469,-0.0001677342253747488,0.00027041119890798283,-0.00015891696206662436,-0.0002553375624668713,-0.00011021738412444837,-0.0003637384308647322,-4.832974121740392e-05,-8.51751312171204e-05,1.3060021410384837,0.0003120621063777891,-0.00013976289017242493,-3.900435768086013e-05,-0.00021839009887999,-0.0003792880740653354,-2.0372491128140293e-05,0.00019347916014190666,0.0002394964426496011,-9.600173225685292e-05,-2.2440892706862366e-05,0.000204360560949294,-7.2388731187282e-05,0.00029590882401695775,-1.8514307490502122e-05,0.00021211005259385104,-2.4819456761939653e-05,-5.321027167644198e-05,-5.89721825976058e-05,-0.00012197474419872613,0.0,-8.22402653798836e-06,-1.6672908036084074e-05,-0.000916121545026958,0.0
P.Mut.GNAS,-7.367310727076818e-05,-0.7276785120121451,0.6848797094181595,-0.0008085540328260922,-0.0007153330066288405,0.0004391741524218194,-0.0015947190040844948,-7.916988531785272e-05,-3.136331476063992e-05,-0.0002993717127468869,-7.476400687724673,-0.0011438017662724887,-0.0002793883498033434,-0.0005870808721322413,-2.8755010588905412e-05,-0.00022468052511260024,4.9044934835046464e-05,-0.00031419839843243,0.00032286733027751596,0.00013829066052131387,0.00029416471646988095,-0.0001968843945430284,-0.00010017472906230314,-0.0001095799964522586,-0.0004297509526369022,0.0003302428412484858,-6.945381571784025e-05,-0.00011135422170795833,-3.157868604358234e-05,-0.00013057101866649484,0.0003358109723622369,-0.00025799376101504014,0.00020056928787805884,-2.3799644091388037e-05,0.0001383570052691437,0.000283991033741999,-0.00012399632217416023,-2.5169543142102307e-05,-0.00010581313413576769,0.0003031312231133219,-3.2684646373159004e-05,-2.0843847470571784e-05,-0.00010411205075511362,-2.2664864096768505e-05,-5.065844542387456e-05,-4.362940144446151e-05,-0.00017340936202023876,0.0,-1.0773233305771263e-05,-1.382939300475763e-05,-0.0008463348510899746,0.0
P.Mut.DAXX,-1.0052764178902722,-0.0023828227406334185,-0.0032339362848158772,-0.0013508806362007954,0.0008777156130246932,-0.0009206985437019904,3.8841389069032686,-0.000573781315593223,-3.421002801926562e-05,-0.0008643897038333894,-0.0002239644549671672,-7.200597778218743,-0.0007435819610885621,-0.0003321862549939461,-1.9264500759672844e-05,-0.0003544722286119982,-0.0006752113567626237,-0.0014832935525328271,-0.0004400631400847782,-0.0001648819000428015,-7.87651628473971e-05,0.00015509857887713533,-0.00011583133004799842,-0.00011194450964324061,0.0005980976677405431,-5.3694221513252414e-05,0.002814560129801228,-0.000300359057764859,-0.00043261525466948897,-0.00011668868423833303,-4.7291192830385074e-05,-0.00020853878160956033,0.0002058962488111129,-2.7200633540701817e-05,-0.0007943520618771357,-0.0005050062653518855,-0.00018712754065287497,-1.8482057966598806e-05,-0.0005481590259321516,0.0009354244615843799,-0.0004612199285535534,-0.0003762176310108494,-0.0005445195885864773,-1.8862079191086695e-05,-7.482139179973315e-05,-6.265012256086629e-05,-0.0001248852535049567,0.0,-7.926612447465677e-06,-1.2861455428676482e-05,0.5076349056353804,0.0
P.Mut.KMT2C,-0.0034062667142090697,-0.6326731917698716,0.0006475342499645039,-0.0018622916064899918,0.004718877586564478,-0.0006737568342220301,0.00315056014523651,0.00024177330915855718,-3.84407196133153e-05,0.0032666369354530512,2.7481766966876385e-05,0.0030904485928930324,-6.957593545365307,-0.0008277603909530857,-3.191220255636977e-05,-0.00036613076260802636,0.0003168748479430273,-0.0005483366697573475,0.00028894674471958396,-0.00022664566342199652,0.0002578743280049018,-0.00027507048471253604,-0.00012818230029618583,-0.0001838425716735363,0.0022221999033848446,0.0003183414723315064,-0.00013598131525493736,-0.0005169166312240026,0.0003040575163019129,-0.00014314386539346786,0.00032817501892653183,-0.0003053098242601272,-2.641958642748115e-05,-2.7439701255466892e-05,0.0005849018848123474,0.0005838251546204673,-0.00018437429370257616,-2.8404435314916622e-05,0.00014428857664490417,0.0002686049080449823,0.00027535840345411784,-2.8066556338069734e-05,0.00014689163084855375,-2.9607226703613384e-05,-8.340323637729346e-05,-8.021390729045659e-05,-0.0002793630820204479,0.0,-1.1374362576865719e-05,-1.7854763973616515e-05,-0.013841195005734202,0.0
P.Mut.ATM,-0.0005500566942717263,-1.2220894273147083,-8.081356625793292e-05,-0.0008211542487235337,3.459456926429777e-05,-0.0008090009302400566,-0.002311356930040705,-0.00010935998949576764,-2.807183306165615e-05,-0.0002149334568836065,-0.00023082840192990397,-0.0013691154805804474,-0.0005212069024540613,-6.922054557245491,-2.7677919076719396e-05,-0.0002339498464699987,-0.00026684548194961437,-0.0004537199655640523,-4.6261979238601905e-05,-0.00015747539510825784,-0.00012673864152267674,-0.0001969518988510771,-7.675955100516705e-05,-0.0001713611587716873,-0.00042558652484589297,-6.649353110685784e-05,-9.578115099167467e-05,-0.0003394210070445066,-2.9990698964355896e-05,-7.580110697694682e-05,-5.9168471644030404e-05,-0.00014222252620184927,-0.000543128528160875,-2.303996032686591e-05,-0.0002661041263789505,-0.0001337789169943112,-0.00014411455489442575,-2.232149842353711e-05,-0.0001308554429244134,-0.00010059381435798722,-5.816752568918289e-05,-2.611407203407953e-05,-0.00012336847379689568,-2.411704410761924e-05,-3.9948961083142396e-05,-4.665602577684394e-05,0.0015608408505247838,0.0,-5.996383038071851e-06,-1.267020956979903e-05,-0.6247025678869297,0.0
P.Mut.RBM10,-0.00017746113690158153,-0.0005781751379325239,8.464088077426832e-06,-0.00020916837996170218,0.0003580108135844384,-8.74244984399494e-05,-0.00015343805335057604,-3.449794908743105e-05,-1.1941162689247554e-05,-2.7204572230189762e-05,-1.721162166214218e-05,-0.00010700404011956122,-8.315422961937822e-05,-4.157592482659959e-05,-9.796304363884069,-2.055697132449772e-05,-5.040758985306565e-05,-1.4760500381522012e-05,-1.5833913305740378e-05,-1.1063389402572327e-05,-2.34414103393489e-05,-4.4103399415667594e-05,-3.059783847504847e-05,-2.0267975058350017e-05,-3.720319883772544e-05,-1.5750799194630237e-05,-9.491175437497379e-06,-4.0309959357335357e-05,-1.1681856980172971e-05,-1.8641876447083969e-06,-1.1047162953269979e-05,-2.4960400774628706e-05,-2.9622328687670338e-05,-9.310384113244816e-06,0.0007829781505961895,-2.767285466241166e-05,-2.4372144585851778e-05,-9.605862519998814e-06,-4.203574073250813e-05,-2.1333907861092117e-05,-1.4779052315220134e-05,-9.002373092979657e-06,-4.160313923919469e-05,-9.613186883596137e-06,-7.748806180181319e-06,-1.8443083403023782e-05,-4.830708563828541e-06,0.0,-3.496812013432952e-06,-7.105194207769299e-06,-0.0006774893879090992,0.0
P.Mut.BRCA2,-1.1001973539589496,-0.010925276876660749,-0.002139847649314785,-0.0014235153286394275,-0.0011985647987573281,-0.0008900473690361171,-0.003493790629744031,-0.00010323007997172416,-3.417357508319798e-05,-0.0001765725655885981,-0.0002415017319993523,-0.0021441426678872866,-0.0005368799134400538,-0.0002697441903346482,-1.8952500282128415e-05,-7.1017524518354005,-0.000390544392263383,-0.00046702515120919966,-3.4757450252370455e-05,-0.00012021820173335275,-0.00015049634414894254,-0.0003014926916641599,-6.454374254789452e-05,-9.987948850824862e-05,0.0016588905467976303,-0.00011536507285857457,-8.203785206499075e-05,-0.00022875021839510737,-2.7287742707361112e-05,-0.00013909822147873256,-0.00011005547143622899,-0.00014514793353550927,0.9064505233061664,-2.7968947549688988e-05,-0.0003221500557910724,-0.0001738394001327909,-0.0001611211938225023,-1.7976046010726064e-05,-0.00010038640731014753,-0.00016660109252481368,-6.101723507309049e-05,-2.1549742989873757e-05,-9.778172765238152e-05,-1.8459256018106574e-05,-5.2309187290020607e-05,-5.085298420854058e-05,-0.00010489690140134057,0.0,-2.81761849778636e-06,-8.650702390563653e-06,-0.000590678413321874,0.0
